term,beta,se,t,p,lo95,hi95,outcome
head_injury,0.004121055752934283,0.021490309735808115,0.19176344145787697,0.8793838572772252,-0.268939219594052,0.2771813310999205,IS
n_meds,-0.0009294466127230949,0.0024909118674172424,-0.373135085540707,0.7726410043917733,-0.03257948277989381,0.03072058955444762,IS
(Intercept),0.5176315435179915,0.008352435011867753,61.973728952395625,0.010271522148441736,0.4115037942116061,0.6237592928243768,IV
od_binary,0.0475441034511902,0.025253235875801607,1.8826935163880665,0.3108353326546953,-0.2733286818376569,0.3684168887400373,IV
age,0.0022497419436668144,0.0004674768772343314,4.812520261914665,0.1304280350645739,-0.003690114967900203,0.008189598855233831,IV
female,-0.01498105315356424,0.009218279840350249,-1.6251462759884099,0.35116889244639404,-0.13211040412040628,0.10214829781327779,IV
race_MexAm,-0.03448740435244471,0.037229787516857474,-0.926339005744499,0.5243317551971844,-0.5075367068259167,0.4385618981210272,IV
race_NHAsian,0.04702287720539758,0.0005953742915256852,78.98036222709317,0.008060051116008271,0.03945792956261726,0.054587824848177896,IV
race_NHBlack,0.028616115899670592,0.034544622443029804,0.8283812030906874,0.5595809788369035,-0.4103149293953213,0.46754716119466255,IV
race_OtherHisp,-0.02574460382064242,0.032388148116431446,-0.794877302897767,0.5724400928535167,-0.43727504481357116,0.3857858371722863,IV
race_OtherMulti,0.027133393484222446,0.034919807257629464,0.7770201388581318,0.5794674860761595,-0.4165648268789765,0.4708316138474214,IV
edu_HS,-0.09789611531622401,0.021323192826215396,-4.591062704074386,0.13653249442606463,-0.3688329689950483,0.1730407383626003,IV
edu_SomeColl,-0.05976051225619723,0.013710849798594054,-4.358629343479879,0.14357487526944168,-0.23397337690407288,0.1144523523916784,IV
edu_lt_HS,-0.11569845859761274,0.012297144539405672,-9.408562957592471,0.06741078841553727,-0.2719484947856339,0.040551577590408394,IV
pir,0.003594383991124768,0.006204532507196836,0.5793158448207865,0.6657289722019741,-0.07524167633756952,0.08243044431981907,IV
bmi,0.0031336100044261975,0.00032299957406999686,9.701591754257597,0.06538920987693486,-0.0009704887134044052,0.0072377087222568,IV
smk_current,-0.030653340685089125,0.009148109868933626,-3.3507840553146213,0.18463424737751977,-0.14689109762878003,0.08558441625860178,IV
smk_former,-0.029981804154072922,0.004060026646220217,-7.384632359983458,0.08568749887043237,-0.08156933395527169,0.021605725647125852,IV
dm_self,0.028399024937333595,0.007942454336621947,3.57559813801991,0.17360996936949258,-0.07251942597150343,0.12931747584617062,IV
comorb_count,0.014218313727440923,0.010562727362588242,1.346083567185524,0.40676118622723534,-0.11999386271399984,0.14843049016888168,IV
phq9_score,0.0019390112135481488,0.00023251658326198056,8.3392383732193,0.07597748798519954,-0.0010153920979343862,0.004893414525030684,IV
sinus_ever,0.026807422961805563,0.021052720499860286,1.2733472123939265,0.42381858433877184,-0.2406927539628813,0.2943075998864924,IV
head_injury,0.017803469259054877,0.02492502837184469,0.714280802150086,0.6051389841161097,-0.29889904428856673,0.33450598280667654,IV
n_meds,0.0033782524605212583,0.002585619028285673,1.3065546097721599,0.41588247698759306,-0.029475152282625566,0.03623165720366808,IV
(Intercept),1.0132531184540794,0.003537989248729823,286.39236787331913,0.0022228846036582706,0.9682987027053334,1.0582075342028254,RA
od_binary,-0.006700986935599701,0.005722756055678554,-1.1709370223723712,0.4499765176747843,-0.07941549703423495,0.06601352316303555,RA
age,-0.0006480759004897606,1.5730794452169451e-06,-411.9791295094977,0.0015452688655530622,-0.0006680637699869552,-0.000628088030992566,RA
female,0.00730997003872148,0.0001548891382599379,47.19485253029008,0.013487159953889716,0.00534191693658104,0.00927802314086192,RA
race_MexAm,0.003185829882038832,0.003202277995746798,0.9948636209192918,0.501639166317335,-0.037502969954067135,0.0438746297181448,RA
race_NHAsian,-0.009816800728875363,0.003817911112330783,-2.571249156946019,0.23613173338186777,-0.05832796098666675,0.03869435952891603,RA
race_NHBlack,-0.011256430773198635,0.00338520332143344,-3.325186024109234,0.18597638335854172,-0.054269517248910513,0.031756655702513244,RA
race_OtherHisp,-0.0018855574159101773,0.0016265466331860416,-1.159239690667086,0.4531353800004423,-0.022552791950107662,0.018781677118287307,RA
race_OtherMulti,-0.010645845560223854,0.011906612749315003,-0.8941120186206037,0.5355524324882026,-0.16193370486736813,0.14064201374692042,RA
edu_HS,0.0023202506691777647,0.0009629979566199038,2.409403522850433,0.2504492077179119,-0.00991579852815261,0.01455629986650814,RA
edu_SomeColl,0.0031940048037621266,0.0011748902129687744,2.718555971022473,0.22439621233696294,-0.01173439078474701,0.01812240039227126,RA
edu_lt_HS,0.0006876731466073094,0.0037628850067116587,0.18275157103678247,0.8849266013523776,-0.047124314147353116,0.048499660440567735,RA
pir,0.0017446521319577058,0.00016541246771349538,10.547283140588599,0.06017876159297386,-0.0003571125487258531,0.0038464168126412647,RA
bmi,-0.000867018218067752,0.00013187924175294294,-6.574334266282693,0.09609750466095202,-0.0025427028642321233,0.0008086664280966191,RA
smk_current,-0.006062255563714314,0.00523642506756758,-1.157708834842613,0.4535514974792145,-0.0725973445578654,0.06047283343043677,RA
smk_former,-0.002404977998065081,0.0052748171326224575,-0.4559358054692237,0.7276673243675194,-0.06942788443104797,0.06461792843491782,RA
